"Month","Sale"
2021-01,266
2021-02,145.9
2021-03,183.1
2021-04,119.3
2021-05,180.3
2021-06,168.5
2021-07,231.8
2021-08,224.5
2021-09,192.8
2021-10,122.9
2021-11,336.5
2021-12,185.9
2022-01,194.3
2022-02,149.5
2022-03,210.1
2022-04,273.3
2022-05,191.4
2022-06,287
2022-07,226
2022-08,303.6
2022-09,289.9
2022-10,421.6
2022-11,264.5
2022-12,342.3
2023-01,339.7
2023-02,440.4
2023-03,315.9
2023-04,439.3
2023-05,401.3
2023-06,437.4
2023-07,575.5
2023-08,407.6
2023-09,682
2023-10,475.3
2023-11,581.3
2023-12,646.9
